"""0"",""1"",""00"",""01"",""10"",""11"",""000"",""001"",""010"",""011"",""100"",""101"",""110"",""111"""
2,2,4,4,4,4,8,8,7,8,8,7,8,8
2,2,4,4,4,4,8,8,7,8,8,7,8,8
8,8,6,7,7,5,13,10,13,8,8,13,10,14
2,2,4,4,4,4,8,8,7,8,8,7,8,8
6,6,6,10,10,6,12,11,6,8,8,6,11,12
8,8,6,7,7,5,13,10,13,8,8,13,10,14
8,8,9,8,8,9,16,8,21,6,6,21,8,16
2,2,4,4,4,4,8,8,7,8,8,7,8,8
10,10,9,8,8,9,16,7,10,8,8,10,7,14
6,6,6,10,10,6,12,11,7,8,8,7,11,12
4,4,18,9,9,15,13,9,11,8,8,11,9,13
8,8,6,7,7,5,13,10,13,10,10,13,10,14
4,4,6,9,9,6,11,8,10,10,10,10,8,10
8,8,9,8,8,9,19,8,21,6,6,21,8,19
20,20,10,13,13,10,13,9,13,10,10,13,9,13
2,2,4,4,4,4,8,8,7,8,8,7,8,8
18,18,10,11,11,10,14,9,11,15,15,11,9,14
10,10,9,8,8,9,16,8,13,8,8,13,8,14
5,5,12,10,10,12,12,10,9,10,10,9,10,12
6,6,6,10,10,6,12,11,7,11,11,7,11,12
8,8,10,10,10,10,15,11,14,8,8,14,11,16
4,4,18,9,9,15,13,9,11,8,8,11,9,13
6,6,13,13,13,13,11,10,9,13,13,9,10,11
8,8,6,7,7,5,13,10,13,10,10,13,10,14
6,6,11,24,24,12,14,7,10,12,12,10,7,16
4,4,6,9,9,6,11,10,10,10,10,10,10,10
11,11,12,13,13,12,13,12,14,10,10,14,12,13
8,8,9,8,8,9,19,8,21,8,8,21,8,19
5,5,12,8,8,12,12,9,11,9,9,11,9,12
20,20,10,13,13,10,13,10,15,11,11,15,10,13
32,32,18,17,17,19,23,15,12,10,10,12,15,23
2,2,4,4,4,4,8,8,7,8,8,7,8,8
34,34,17,19,19,18,19,15,15,21,21,15,15,20
18,18,10,11,11,10,14,15,13,15,15,13,15,14
4,4,13,12,12,13,13,11,19,9,9,19,11,13
10,10,9,8,8,9,16,8,13,8,8,13,8,14
7,7,15,9,9,15,11,12,11,12,12,11,12,11
5,5,12,10,10,12,12,10,11,11,11,11,10,12
9,9,22,11,11,22,15,12,17,9,9,17,12,15
6,6,6,10,10,6,12,11,7,11,11,7,11,12
7,7,12,14,14,12,14,11,12,10,10,12,11,12
8,8,10,10,10,10,15,11,14,8,8,14,11,16
8,8,20,15,15,15,13,14,17,10,10,17,14,13
4,4,18,9,9,15,13,9,11,9,9,11,9,13
10,10,12,8,8,12,18,11,12,14,14,12,11,19
6,6,13,13,13,13,12,13,11,13,13,11,13,12
6,6,9,9,9,9,15,12,11,9,9,11,12,14
8,8,6,7,7,5,13,10,13,10,10,13,10,14
6,6,12,15,15,12,12,13,13,12,12,13,13,13
6,6,11,24,24,12,14,12,11,12,12,11,12,16
9,9,13,12,12,15,14,19,13,13,13,13,19,14
4,4,6,9,9,6,11,10,10,10,10,10,10,10
7,7,14,10,10,13,14,11,11,10,10,11,11,12
11,11,12,13,13,12,13,12,14,13,13,14,12,13
9,9,13,10,10,13,18,9,12,12,12,12,9,18
8,8,9,8,8,9,19,8,21,8,8,21,8,19
13,13,10,10,10,10,17,9,9,12,12,9,9,17
5,5,12,8,8,12,12,9,11,9,9,11,9,12
9,9,9,16,16,9,36,10,14,9,9,14,10,32
20,20,10,13,13,10,13,11,15,11,11,15,11,13
6,6,18,8,8,18,12,13,11,8,8,11,13,12
32,32,18,17,17,19,23,15,13,11,11,13,15,23
68,68,33,33,33,33,26,19,13,13,13,13,19,26
2,2,4,4,4,4,8,8,7,8,8,7,8,8
66,66,33,35,35,34,35,19,23,37,37,23,19,36
34,34,17,19,19,18,19,21,21,21,21,21,21,20
6,6,14,9,9,10,11,12,13,12,12,13,12,11
18,18,10,11,11,10,14,15,13,15,15,13,15,14
12,12,10,14,14,10,16,15,13,11,11,13,15,14
4,4,13,12,12,13,13,11,19,11,11,19,11,13
9,9,12,9,9,12,13,15,14,11,11,14,15,12
10,10,9,8,8,9,16,8,13,8,8,13,8,14
6,6,13,9,9,13,11,22,10,14,14,10,22,11
7,7,15,9,9,15,14,12,11,14,14,11,12,14
9,9,13,11,11,13,12,15,13,12,12,13,15,12
5,5,12,10,10,12,12,11,11,11,11,11,11,12
8,8,14,11,11,14,16,14,15,14,14,15,14,16
9,9,22,11,11,22,15,12,17,15,15,17,12,15
11,11,12,9,9,12,18,11,12,13,13,12,11,18
6,6,6,10,10,6,12,11,7,11,11,7,11,12
11,11,11,12,12,11,15,13,12,13,13,12,13,13
7,7,12,14,14,12,15,11,12,10,10,12,11,15
8,8,14,9,9,14,14,11,13,14,14,13,11,14
8,8,10,10,10,10,15,11,14,11,11,14,11,16
6,6,15,12,12,15,16,18,12,12,12,12,18,16
8,8,20,15,15,15,13,14,17,10,10,17,14,13
9,9,13,10,10,13,13,9,17,12,12,17,9,14
4,4,18,9,9,15,13,9,11,9,9,11,9,13
16,16,13,12,12,13,18,10,13,11,11,13,10,16
10,10,12,8,8,12,18,14,14,14,14,14,14,19
7,7,13,12,12,12,16,15,17,14,14,17,15,16
6,6,13,13,13,13,12,13,11,13,13,11,13,12
15,15,11,11,11,11,14,12,16,14,14,16,12,14
6,6,9,9,9,9,15,12,11,16,16,11,12,14
6,6,10,12,12,10,14,12,11,21,21,11,12,12
8,8,6,7,7,5,13,10,13,10,10,13,10,14
6,6,10,13,13,10,17,15,15,14,14,15,15,17
6,6,12,15,15,12,12,13,13,12,12,13,13,13
16,16,10,13,13,10,17,14,15,13,13,15,14,18
6,6,11,24,24,12,14,12,18,12,12,18,12,16
8,8,11,15,15,11,13,21,12,14,14,12,21,14
9,9,13,12,12,15,14,19,13,13,13,13,19,14
10,10,11,17,17,11,13,17,27,13,13,27,17,13
4,4,6,9,9,6,11,10,10,10,10,10,10,10
42,42,12,12,12,12,23,13,18,17,17,18,13,23
7,7,14,10,10,13,14,11,14,10,10,14,11,14
8,8,12,14,14,12,16,12,16,11,11,16,12,16
11,11,12,13,13,12,13,13,14,13,13,14,13,13
8,8,11,11,11,11,13,18,16,12,12,16,18,13
9,9,13,10,10,13,18,12,13,12,12,13,12,18
11,11,10,10,10,10,25,15,13,11,11,13,15,26
8,8,9,8,8,9,19,8,21,8,8,21,8,19
11,11,14,11,11,14,16,15,14,12,12,14,15,16
13,13,10,10,10,10,18,12,15,12,12,15,12,18
